"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 11:48:23 GMT 2022","Mon Nov 14 11:48:28 GMT 2022","5298","firefox","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"passed","Mon Nov 14 11:48:28 GMT 2022","Mon Nov 14 11:48:35 GMT 2022","7248","firefox","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"passed","Mon Nov 14 11:47:56 GMT 2022","Mon Nov 14 11:48:03 GMT 2022","7227","chromium","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"passed","Mon Nov 14 11:47:42 GMT 2022","Mon Nov 14 11:47:46 GMT 2022","4127","chromium","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"failed","Mon Nov 14 11:48:53 GMT 2022","Mon Nov 14 11:48:54 GMT 2022","1129","webkit","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"failed","Mon Nov 14 11:48:59 GMT 2022","Mon Nov 14 11:49:00 GMT 2022","1116","webkit","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"passed","Mon Nov 14 11:47:46 GMT 2022","Mon Nov 14 11:47:56 GMT 2022","9531","chromium","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"failed","Mon Nov 14 11:49:06 GMT 2022","Mon Nov 14 11:49:07 GMT 2022","1197","webkit","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"passed","Mon Nov 14 11:48:03 GMT 2022","Mon Nov 14 11:48:08 GMT 2022","4683","chromium","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"passed","Mon Nov 14 11:48:16 GMT 2022","Mon Nov 14 11:48:23 GMT 2022","6166","firefox","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"failed","Mon Nov 14 11:49:13 GMT 2022","Mon Nov 14 11:49:14 GMT 2022","1219","webkit","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"passed","Mon Nov 14 11:48:40 GMT 2022","Mon Nov 14 11:48:44 GMT 2022","4031","firefox","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"failed","Mon Nov 14 11:49:20 GMT 2022","Mon Nov 14 11:49:21 GMT 2022","1203","webkit","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"passed","Mon Nov 14 11:48:35 GMT 2022","Mon Nov 14 11:48:40 GMT 2022","4806","firefox","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"passed","Mon Nov 14 11:48:08 GMT 2022","Mon Nov 14 11:48:16 GMT 2022","8327","chromium","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
