"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 11:25:36 GMT 2022","Mon Nov 14 11:25:41 GMT 2022","4476","chromium","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"failed","Mon Nov 14 11:27:19 GMT 2022","Mon Nov 14 11:27:21 GMT 2022","1468","webkit","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"passed","Mon Nov 14 11:25:46 GMT 2022","Mon Nov 14 11:25:53 GMT 2022","6451","chromium","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"passed","Mon Nov 14 11:25:58 GMT 2022","Mon Nov 14 11:26:06 GMT 2022","8416","chromium","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"passed","Mon Nov 14 11:26:42 GMT 2022","Mon Nov 14 11:26:50 GMT 2022","7826","firefox","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"passed","Mon Nov 14 11:26:06 GMT 2022","Mon Nov 14 11:26:13 GMT 2022","6420","firefox","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"passed","Mon Nov 14 11:25:53 GMT 2022","Mon Nov 14 11:25:58 GMT 2022","4857","chromium","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"passed","Mon Nov 14 11:26:57 GMT 2022","Mon Nov 14 11:27:05 GMT 2022","7776","firefox","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"failed","Mon Nov 14 11:27:49 GMT 2022","Mon Nov 14 11:27:51 GMT 2022","1321","webkit","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"passed","Mon Nov 14 11:27:05 GMT 2022","Mon Nov 14 11:27:09 GMT 2022","4575","firefox","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"passed","Mon Nov 14 11:26:34 GMT 2022","Mon Nov 14 11:26:42 GMT 2022","8667","firefox","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"failed","Mon Nov 14 11:27:27 GMT 2022","Mon Nov 14 11:27:28 GMT 2022","1323","webkit","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"failed","Mon Nov 14 11:27:42 GMT 2022","Mon Nov 14 11:27:43 GMT 2022","1332","webkit","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"failed","Mon Nov 14 11:27:35 GMT 2022","Mon Nov 14 11:27:36 GMT 2022","1274","webkit","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"passed","Mon Nov 14 11:25:41 GMT 2022","Mon Nov 14 11:25:46 GMT 2022","5520","chromium","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
