"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 14 10:59:56 GMT 2022","Mon Nov 14 10:59:57 GMT 2022","1678","webkit","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"passed","Mon Nov 14 10:58:22 GMT 2022","Mon Nov 14 10:58:36 GMT 2022","13301","chromium","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"passed","Mon Nov 14 10:59:11 GMT 2022","Mon Nov 14 10:59:20 GMT 2022","9017","firefox","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"passed","Mon Nov 14 10:58:16 GMT 2022","Mon Nov 14 10:58:22 GMT 2022","6400","chromium","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"passed","Mon Nov 14 10:59:20 GMT 2022","Mon Nov 14 10:59:26 GMT 2022","6278","firefox","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"failed","Mon Nov 14 11:00:15 GMT 2022","Mon Nov 14 11:00:17 GMT 2022","1680","webkit","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"passed","Mon Nov 14 10:58:53 GMT 2022","Mon Nov 14 10:59:03 GMT 2022","9611","firefox","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"failed","Mon Nov 14 11:00:05 GMT 2022","Mon Nov 14 11:00:07 GMT 2022","1704","webkit","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"passed","Mon Nov 14 10:58:10 GMT 2022","Mon Nov 14 10:58:16 GMT 2022","5923","chromium","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"passed","Mon Nov 14 10:58:36 GMT 2022","Mon Nov 14 10:58:42 GMT 2022","6725","chromium","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"passed","Mon Nov 14 10:58:42 GMT 2022","Mon Nov 14 10:58:53 GMT 2022","10598","chromium","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"passed","Mon Nov 14 10:59:03 GMT 2022","Mon Nov 14 10:59:11 GMT 2022","7738","firefox","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"failed","Mon Nov 14 10:59:45 GMT 2022","Mon Nov 14 10:59:48 GMT 2022","2190","webkit","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"passed","Mon Nov 14 10:59:26 GMT 2022","Mon Nov 14 10:59:32 GMT 2022","5419","firefox","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"failed","Mon Nov 14 11:00:25 GMT 2022","Mon Nov 14 11:00:26 GMT 2022","1693","webkit","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
