"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 11:54:23 GMT 2022","Mon Nov 14 11:54:29 GMT 2022","5450","firefox","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"failed","Mon Nov 14 11:54:50 GMT 2022","Mon Nov 14 11:54:52 GMT 2022","1770","webkit","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"passed","Mon Nov 14 11:53:29 GMT 2022","Mon Nov 14 11:53:36 GMT 2022","7164","chromium","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"failed","Mon Nov 14 11:55:18 GMT 2022","Mon Nov 14 11:55:19 GMT 2022","1593","webkit","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"passed","Mon Nov 14 11:53:51 GMT 2022","Mon Nov 14 11:54:00 GMT 2022","9265","firefox","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"failed","Mon Nov 14 11:55:09 GMT 2022","Mon Nov 14 11:55:10 GMT 2022","1728","webkit","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"passed","Mon Nov 14 11:53:36 GMT 2022","Mon Nov 14 11:53:41 GMT 2022","4747","chromium","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"passed","Mon Nov 14 11:53:41 GMT 2022","Mon Nov 14 11:53:50 GMT 2022","8821","chromium","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"failed","Mon Nov 14 11:54:41 GMT 2022","Mon Nov 14 11:54:42 GMT 2022","1573","webkit","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"passed","Mon Nov 14 11:54:07 GMT 2022","Mon Nov 14 11:54:17 GMT 2022","9327","firefox","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"passed","Mon Nov 14 11:54:00 GMT 2022","Mon Nov 14 11:54:07 GMT 2022","7432","firefox","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"passed","Mon Nov 14 11:54:17 GMT 2022","Mon Nov 14 11:54:23 GMT 2022","6566","firefox","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"passed","Mon Nov 14 11:53:22 GMT 2022","Mon Nov 14 11:53:29 GMT 2022","7400","chromium","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"passed","Mon Nov 14 11:53:16 GMT 2022","Mon Nov 14 11:53:22 GMT 2022","5759","chromium","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"failed","Mon Nov 14 11:54:59 GMT 2022","Mon Nov 14 11:55:01 GMT 2022","1551","webkit","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
