"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 11:09:23 GMT 2022","Mon Nov 14 11:09:28 GMT 2022","5158","chromium","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"failed","Mon Nov 14 11:10:49 GMT 2022","Mon Nov 14 11:10:50 GMT 2022","923","webkit","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"failed","Mon Nov 14 11:10:54 GMT 2022","Mon Nov 14 11:10:55 GMT 2022","916","webkit","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"passed","Mon Nov 14 11:09:53 GMT 2022","Mon Nov 14 11:10:00 GMT 2022","7076","firefox","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"passed","Mon Nov 14 11:09:47 GMT 2022","Mon Nov 14 11:09:53 GMT 2022","5675","firefox","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"failed","Mon Nov 14 11:11:06 GMT 2022","Mon Nov 14 11:11:07 GMT 2022","970","webkit","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"passed","Mon Nov 14 11:09:37 GMT 2022","Mon Nov 14 11:09:41 GMT 2022","3496","chromium","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"passed","Mon Nov 14 11:10:00 GMT 2022","Mon Nov 14 11:10:04 GMT 2022","4812","firefox","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"failed","Mon Nov 14 11:10:43 GMT 2022","Mon Nov 14 11:10:44 GMT 2022","916","webkit","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"passed","Mon Nov 14 11:09:28 GMT 2022","Mon Nov 14 11:09:34 GMT 2022","5201","chromium","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"passed","Mon Nov 14 11:09:34 GMT 2022","Mon Nov 14 11:09:37 GMT 2022","3830","chromium","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"passed","Mon Nov 14 11:09:41 GMT 2022","Mon Nov 14 11:09:47 GMT 2022","5423","firefox","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"passed","Mon Nov 14 11:10:04 GMT 2022","Mon Nov 14 11:10:08 GMT 2022","3819","firefox","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"failed","Mon Nov 14 11:11:00 GMT 2022","Mon Nov 14 11:11:01 GMT 2022","922","webkit","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"passed","Mon Nov 14 11:09:19 GMT 2022","Mon Nov 14 11:09:23 GMT 2022","4700","chromium","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
