"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 14 11:40:10 GMT 2022","Mon Nov 14 11:40:10 GMT 2022","17","chromium","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"failed","Mon Nov 14 11:41:00 GMT 2022","Mon Nov 14 11:41:02 GMT 2022","1804","webkit","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"failed","Mon Nov 14 11:40:15 GMT 2022","Mon Nov 14 11:40:15 GMT 2022","20","firefox","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"failed","Mon Nov 14 11:40:19 GMT 2022","Mon Nov 14 11:40:19 GMT 2022","18","firefox","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"failed","Mon Nov 14 11:40:00 GMT 2022","Mon Nov 14 11:40:00 GMT 2022","23","chromium","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"failed","Mon Nov 14 11:40:42 GMT 2022","Mon Nov 14 11:40:44 GMT 2022","1776","webkit","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"failed","Mon Nov 14 11:40:02 GMT 2022","Mon Nov 14 11:40:02 GMT 2022","30","chromium","issues.spec.ts","Issues page testing","","","ID 5 - Open the list of all closed issues on the issues page",""
"failed","Mon Nov 14 11:40:22 GMT 2022","Mon Nov 14 11:40:22 GMT 2022","18","firefox","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"failed","Mon Nov 14 11:40:52 GMT 2022","Mon Nov 14 11:40:53 GMT 2022","1568","webkit","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"failed","Mon Nov 14 11:40:17 GMT 2022","Mon Nov 14 11:40:17 GMT 2022","17","firefox","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
"failed","Mon Nov 14 11:40:07 GMT 2022","Mon Nov 14 11:40:07 GMT 2022","18","chromium","roadmap.spec.ts","Roadmap page testing","","","ID 4 - Open the path task list on the roadmap page",""
"failed","Mon Nov 14 11:40:12 GMT 2022","Mon Nov 14 11:40:12 GMT 2022","18","firefox","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"failed","Mon Nov 14 11:41:09 GMT 2022","Mon Nov 14 11:41:11 GMT 2022","1472","webkit","search.spec.ts","Search testing","","","ID 2 - Find tasks for any defect using search",""
"failed","Mon Nov 14 11:40:33 GMT 2022","Mon Nov 14 11:40:35 GMT 2022","1870","webkit","download.spec.ts","Download page testing","","","ID 3 - Open the Latest source code in github on the download page",""
"failed","Mon Nov 14 11:40:05 GMT 2022","Mon Nov 14 11:40:05 GMT 2022","30","chromium","registration.spec.ts","Registration page testing","","","ID 1 - Registering a new user with a required field",""
